"","time","A","P","DOC","I0","SA","zmix","zmax","Pin","DOCin","V_lake","V_epi","V_ratio","Qin","kDOC","kA","lA","pA","hA","mA","decay","cA","v","rec","Permanent_Identifier"
"23",10000,31.9310114637372,2.04307757276606,1.9008804119034,97.4631507110596,72000,3.82963978545768,3.82963978545768,9.48951,6.95693177369178,183822.709701969,183822.709701969,1,61.5452054794521,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61772997"
"24",10000,57.0463134395542,2.28081832678504,2.45607749388936,97.1549759101868,16000,3.37112067452799,3.37112067452799,14.38101,8.20863832201436,35958.6205282986,35958.6205282986,1,13.6767123287671,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61772973"
"25",10000,5.94304350070549e-127,2.15656670605002,0.517364661721661,67.277261171341,167000,7.73218602079463,10.3125084615201,0.635714507682893,4.668561590817,1148125.94204924,860850.043648469,0.749787120141171,125.557502348681,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61762665"
"26",10000,4.94065645841247e-324,0.36132656433528,1.94549976646506,67.277261171341,80000,4,4,0.13044,6.46810913567108,213333.333333333,213333.333333333,1,81.7534246575343,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"167586792"
"27",10000,2.40034337244025e-07,1.23768586747314,0.576507205698245,125.300404834747,376000,6.75005739087955,6.75005739087955,1.20657,2.75205932888474,1692014.38598047,1692014.38598047,1,398.66301369863,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61790791"
"28",10000,0,0.357658692245171,0.767371227514703,68.5067308807373,11404.27,4.07323470256898,4.07323470256898,0,2.92407575363222,30968.1788809775,30968.1788809775,1,9.81079665753425,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"33529229"
"29",10000,6.69559874341706e-93,1.47335273132792,1.85154078302103,105.063357563019,54000,4.78970322454456,4.78970322454456,1.40223,5.36082942806564,172429.316083604,172429.316083604,1,81.0739726027397,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47725871"
"30",10000,1.85763551340129e-139,1.14595207368484,1.51045806347504,99.7976173210144,178000,4.88518384230493,4.88518384230493,0.88047,5.59969423307613,579708.482620186,579708.482620186,1,190.679452054795,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61786045"
"31",10000,8.43211436330431,2.1441182991413,1.58958875519399,89.4683005523682,81000,4.820166244898,4.820166244898,3.68493,4.85990867626785,260288.977224492,260288.977224492,1,112.734246575342,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"47721001"
"32",10000,24.8062480474411,2.0810285858033,2.53435201941099,99.7976173210144,23000,3.18632959208401,3.18632959208401,6.26112,7.01326826808403,48857.0537452882,48857.0537452882,1,24.6383561643836,0.115056012485032,0.000935181972656244,0.339788315297038,1.91893047852508,97.0063293659412,2.6617738415054,0.000594303984281217,0.0299119779056705,0.000761500819029477,0.996117807924821,"61786043"
